"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UKLEYDG3","bookSection","2002","Nash, David","Historical Linguistic Geography of South-East Western Australia","Language in Native Title","","","","","","2002","2023-02-12 14:03:22","2023-02-12 14:04:58","","205–230","","","","","","","Native Title Research Series","","","","Aboriginal Studies Press","Canberra","","","","","","","","","","","","historical linguistics; Aboriginal languages; geography; western australia; goldfields; salvage; fix_chirila_key","","Henderson, John; Nash, David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7A6KALV","manuscript","1992","Bradley, John; Kirton, Jean; Yanyuwa Community","Yanyuwa Wuka: Language from Yanyuwa country","","","","","","History of Yanyuwa people; effect of cattle industry, media and rehousiong after cyclones on language; Marlandarri camp; pronunciation guide, speech varieties, grammar illustrated Yanyuwa-English dictionary; semantic domains of verbs, English-Yanyuwa finder list; texts of Dreaming, cultural events and recent history with interlinear gloss and translation; original illustrations of material culture, seasons botanical and zoological species","1992","2023-02-12 14:03:45","2023-02-12 14:05:10","","","636","","","","","Yanyuwa Wuka","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0382","","","","mura.aiatsis.gov.au Library Catalog","","","0000","Year: 1992 Description: 3 v.; ill., maps Call number: MS 3159 Access: Open access - reading. Copying permitted for private study. Not for Inter-Library Loan Annotation: History of Yanyuwa people; effect of cattle industry, media and rehousiong after cyclones on language; Marlandarri camp; pronunciation guide, speech varieties, grammar illustrated Yanyuwa-English dictionary; semantic domains of verbs, English-Yanyuwa finder list; texts of Dreaming, cultural events and recent history with interlinear gloss and translation; original illustrations of material culture, seasons botanical and zoological species Topical: Economic sectors - Agriculture and horticulture - Pastoral industry - Beef cattle Topical: Environment - Climate and weather - Storms - Cyclones Topical: Environment - Climate and weather - Seasons Topical: Language - Linguistics - Grammar and syntax Topical: Indigenous knowledge - Botany Topical: Indigenous knowledge - Zoology Topical: Language - Change Topical: Settlement and contacts - Macassans and Indonesians Topical: Occupations - Pastoral industry workers Topical: Language - Linguistics - Phonology - Pronunciation Topical: Race relations - Representation - Media Topical: Language - Sociolinguistics - Secret and special languages Topical: Language - Semantics Topical: Technology Topical: Language - Texts and translations - Aboriginal to non-Aboriginal language Topical: Language - Linguistics - Vocabulary and grammar - Verbs Topical: Language - Vocabulary - Dictionaries and glossaries Place: Northern Territory - North NT Place: Northern Territory - Central NT Language/Group: Waka Waka / Wakka Wakka language (E28) (Qld SG56-10) Language/Group: Waka Waka / Wakka Wakka people (E28) (Qld SG56-10) Language/Group: Yanyuwa / Yanuwa language (N153) (NT SE53-04) Language/Group: Yanyuwa / Yanuwa people (N153) (NT SE53-04)","","/Users/clb3/Zotero/storage/F25QFH5Q/yanyuwatotal.pdf","","Yanyuwa; fix_chirila_key","","","","","Kirton, Jean; Yanyuwa Community","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZMSLVRP","book","2012","Morelli, Steve","Yaygirr dictionary and grammar","","978-0-9808405-0-6","","","","","2012","2023-02-12 14:03:45","2023-02-12 14:05:10","","","300","","","","","","","","","","Muurrbay Aboriginal Language and Culture Co-operative","Nambucca Heads","en","","","","","Google Books","","Google-Books-ID: cTi8bwAACAAJ","","","https://www.google.com/books?id=cTi8bwAACAAJ","fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQQ5TX57","book","1971","Geytenbeek, B.; Geytenbeek, H.","Gidabal Grammar and Dictionary","","978-0-85575-019-0","","","https://books.google.com/books?id=ISAYAQAAMAAJ","","1971","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","","","","","Australian Institute of Aboriginal Studies","Canberra","","","","","","","","LCCN: 72189345","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SC7TMC3","book","1980","Heath, Jeffrey","Basic Materials in Ritharngu: Grammar, Texts, and Dictionary","","978-0-85883-204-6","","","","Grammar; 41 texts; Ritharngu-English dictionary; vocabulary by semantic domain; English-Ritharngu vocabulary; based on authors own fieldwork 1973-6.","1980","2023-02-12 14:03:45","2023-02-12 15:16:59","","","288","","","","","Basic Materials in Ritharngu","","","","","Pacific Linguistics","","en","","","","","Google Books","","Google-Books-ID: e2kHAQAAIAAJ tex.ids= heath1980i","","","https://books.google.com/books?id=e2kHAQAAIAAJ","#nosource; fix_chirila_key","Ritharrngu language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNWS7IVS","book","2003","Pensalfini, Rob","A Grammar of Jingulu, an Aboriginal Language of the Northern Territory","","","","","","This book is intended as a thorough description of the Jingulu language as spoken by the handful of speakers remaining in the Northern Territory ding the mid to late 1990s. The description is based on material which the author collected during three field trips from 1995 to late 1998. Chapter 1 focuses on the socio-historical context in which he language is spoken, including estimated of tradition area, number of speakers, and genetic and cultural affiliations. Chapter 2 is devoted to Jingulu phonology, from the phoneme inventory and phonotactics to a spectacular system of vowel harmony and some interesting facts on reduplication. Chapter 3 outlines the parts of speech of Jingulu as understood by the author, and argues for the particular labels and categories that the author assumes in following chapters. Chapter 4 discusses Jingulu syntax, from simple verbal and non-verbal predication to the encoding of dependent and conjoined clauses. Chapters 5 and 6 are expositions of the morphology of Jingulu nominal and verbal words respectively. Chapter 7 contains a few exemplary texts, glossed and translated into English. Through the grammar the author has preferred to provide more sentence examples rather than fewer (particular where the author was less than certain about the accuracy of his own description), to provide readers with a sense of what Jingulu sentences are actually like beyond what can be gleaned from prose description, and to provide future researchers with organised material with which to build their own hypotheses and analyses. This grammar contains no word list or dictionary. A separate Jingulu dictionary by the author is in preparation.","2003","2023-02-12 14:03:45","2023-02-12 14:05:10","","","284","","","","","","","","","","Pacific Linguistics","Canberra","en","","","","","Google Books","","Google-Books-ID: DtdiAAAAMAAJ","","","https://books.google.com/books?id=DtdiAAAAMAAJ","fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCLW4BQ6","book","1991","Alpher, Barry","Yir-Yoront Lexicon: Sketch and Dictionary of an Australian Language","","978-3-11-012682-2","","","","Yir-Yoront/English dictionary, with English index; notes on phonology and orthography, grammatical categories, semantics and taxonomy, kin terms, respect vocabulary, lists of plants, birds with Latin and Yir-Yoront terms.","1991","2023-02-12 14:03:45","2023-02-12 14:05:10","","","816","","","","","Yir-Yoront Lexicon","","","","","Walter de Gruyter","","en","","","","","Google Books","","Google-Books-ID: C3wzdtgQJ5EC","","","https://books.google.com.au/books?id=C3wzdtgQJ5EC","fix_chirila_key","Language Arts & Disciplines / Reference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDD29IBY","book","1986","Zorc, R. David","Yolngu-Matha dictionary","","","","","","","1986","2023-02-12 14:03:45","2023-02-12 14:05:10","","","290","","","","","","","","","","School of Australian Linguistics, Darwin Institute of Technology","Batchelor, Australia","","","","","","mura.aiatsis.gov.au Library Catalog","0028","Year: 1986 Description: 14, 290 p Local call number: B Z883.57/Y1 Accession no: 007679b Annotation: Notes on orthography, grammar, morphology and sources Topical: Language - Linguistics - Grammar and syntax Topical: Language - Linguistics - Phonology and phonetics - Orthography and spelling Topical: Language - Vocabulary - Dictionaries and glossaries Place: Arnhem Land (NT) Language/Group: Guyula Djambarrpuyngu / Golamala language (N109) (NT SD53-03) Language/Group: Guyula Djambarrpuyngu / Golamala people (N109) (NT SD53-03) Language/Group: Djambarrpuyngu language (N115) (NT SD53-03) Language/Group: Djambarrpuyngu people (N115) (NT SD53-) Language/Group: Djapu language (N145) (NT SD53-07) Language/Group: Djapu people (N145) (NT SD53-07) Language/Group: Djarrwark language (N117) (NT SD53-02) Language/Group: Djarrwark people (N117) (NT SD53-02) Language/Group: Djinba / Dyinba people (N97) (NT SD53-02) Language/Group: Djinba/ Dyinba language (N97) (NT SD53-02) Language/Group: Galpu language (N139) (NT SD53-04) Language/Group: Galpu people (N139) (NT SD53-04) Language/Group: Ganalbingu language (N83) (NT SD53-02) Language/Group: Ganalbingu people (N83) (NT SD53-02) Language/Group: Golpa / Gorlba language (N130) (NT SC53-15) Language/Group: Golpa / Gorlba people (N130) (NT SC53-15) Language/Group: Gumatj language (N141) (NT SD53-03) Language/Group: Gumatj people (N141) (NT SD53-03) Language/Group: Liyagalawumirr / Layagalawumirr language (N108) (NT SD53-02) Language/Group: Liyagalawumirr / Layagalawumirr people (N108) (NT SD53-02) Language/Group: Liyagawumirr language (N101) (NT SD53-02) Language/Group: Liyagawumirr people (N101) (NT SD53-02) Language/Group: Manggalili language (N137) (NT SD53-03) Language/Group: Manggalili people (N137) (NT SD53-03) Language/Group: Marrakulu language (N142) (NT SD53-04) Language/Group: Marrakulu people (N142) (NT SD53-04) Language/Group: Mun-narngo language (N87) (NT SD53-02) Language/Group: Mun-narngo people (N87) (NT SD53-02) Language/Group: Rirratjingu language (N140) (NT SD53-03) Language/Group: Rirratjingu people (N140) (NT SD53-03) Language/Group: Ritharrngu / Ridharrngu language group (N104) (NT SD53-07) Language/Group: Ritharrngu / Ridharrngu people (N104) (NT SD53-07) Language/Group: Wagilak / Wawilak language (N106) (NT SD53-07) Language/Group: Wagilak / Wawilak people (N106) (NT SD53-07) Language/Group: Wangurri language (N134) (NT SD53-03) Language/Group: Wangurri people (N134) (NT SD53-03) Language/Group: Warramirri / Warramiri language (N131) (NT SD53-03) Language/Group: Warramirri / Warramiri people (N131) (NT SD53-03) Language/Group: Yolngu languages (NT SD53) Language/Group: Yolngu people (NT SD53)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTHSUGUB","book","1983","Waters, Bruce E.","An interim Djinang dictionary","","","","","http://www.language-archives.org/item/oai:sil.org:19027","","1983","2023-02-12 14:03:45","2023-02-12 14:05:10","2011-08-05 20:34:21","","231","","","","","","Work Papers of SIL-AAB, Series B","9","","","Summer Institute of Linguistics","Darwin, Australia","","","","","","","","","","/Users/clb3/Zotero/storage/C8FRMU2P/oaisil.html","","fix_chirila_key","[language = dji] Djinang; [linguistic-field = lexicography]; Dictionaries and vocabularies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIBYX35P","book","1990","Richards, Eirlys; Hudson, Joyce","Walmajarri - English dictionary with English finder list","","","","","","","1990","2023-02-12 14:03:45","2023-02-12 15:17:17","","","398","","","","","","","","","","Summer Institute of Linguistics","Darwin, Australia","","","","","","","","tex.ids= richards1990e","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HB3SKTCF","manuscript","","McKay, Graham","Rembarrnga dictionary and grammar","","","","","","","n.d.","2023-02-12 14:03:45","2023-02-12 15:19:04","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0607","","","","","","","","tex.ids= mckayn.d.c","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FHSM3PI","book","1992","Kimberley Language Resource Centre","Jaru dictionary","","1-875167-06-4","","","","","1992","2023-02-12 14:03:45","2023-02-12 14:05:10","","","156","","","","","Jaru Dictionary","","","","","Kimberley Language Resource Centre","Halls Creek, Western Australia","","","","","","mura.aiatsis.gov.au Library Catalog","L D658.003/1","Year: 1992 Description: iii, 116, 40 p Local call number: L D658.003/1 Contents Note: Includes Jaru-English section (116 p.) and an English finder list (40 p.) Access: Not for Inter-Library Loan Annotation: Jaru-English dictionary with English-Jaru finder list ; provides an English definition of the Jaru word and information on its source ; some entries include an illustrative sentence and its translation and references to words with a similar meaning;  word lists Topical: Language - Vocabulary - Dictionaries and glossaries Place: Kimberley area (WA SD51, SD52, SE51, SE52) Language/Group: Jaru / Djaru language (K12) (WA SE 52-10)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","Draft ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPB4AJ6M","manuscript","","Hudson, Joyce; Richards, Eirlys","Walmajarri dictionary","","","","","","","n.d.","2023-02-12 14:03:45","2023-02-12 15:19:06","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0167","","","","","","mura.aiatsis.gov.au Library Catalog","AILEC 0167","Local call number: AILEC 0167 Access restriction: Access - Permission from Summer Institute of Linguistics required. Contact AIATSIS Library Type of file/data: Text file Topical: Language - Vocabulary - Dictionaries and glossaries Language/Group: Walmajarri / Walmatjarri language (A66) (WA SE51-16) tex.ids= hudsonn.d.c","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2KGQ2BC","manuscript","1988","Hosokawa, Komei","Classified Yawuru dictionary","","","","","","","1988","2023-02-12 14:03:45","2023-02-12 14:05:10","","","89","","","","","","","","","","","Australian Institute of Aboriginal and Torres Islander Studies MS 2605","","","","","","mura.aiatsis.gov.au Library Catalog","MS 2605","Year: 1988 Description: 89] leaves in various foliations Call number: MS 2605 Access: Open access ? reading.  Open copying for private study (in accordance with Copyright Act 1968), closed quotation.  .   Not for Inter-Library Loan Annotation: Sections on body parts, people and kin terms; artefacts, plants, mammals, birds, fish and reptiles; includes finder lists English- Yawuru, YawuruEnglish Topical: Animals - Mammals Topical: Animals - Reptiles Topical: Animals - Birds Topical: Indigenous knowledge - Botany Topical: Indigenous knowledge - Zoology Topical: Social organisation - Kinship - Kinship terms Topical: Technology Topical: Language - Vocabulary - Animal names Topical: Language - Vocabulary - Body parts and functions Topical: Language - Vocabulary - Dictionaries and glossaries Place: West Kimberley area (WA SD51, SD52, SE51) Language/Group: Yawuru language (K1) (WA SE 51-10) Language/Group: Yawuru people (K1) (WA SE51-10)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6B9A8LW","book","1982","Heath, Jeffrey","Nunggubuyu dictionary","","0-391-02612-7","","","","","1982","2023-02-12 14:03:45","2023-02-12 14:05:10","","","399","","","","","","AIAS New Series","36","","","Australian Institute of Aboriginal Studies","Canberra","","","","","","orbis.library.yale.edu Library Catalog","PL7101.N8","","","","","#nosource; fix_chirila_key","English language; Nunggubuyu language; Nunggubuyu; English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4FLRS7M","book","1980","Heath, Jeffrey","Dhuwal (Arnhem Land) texts on kinship and other subjects with grammatical sketch and dictionary","","","","","","","1980","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","Oceania Linguistic Monographs","23","","","University of Sydney","Sydney","","","","","","mura.aiatsis.gov.au Library Catalog","B H437.75/D1","Year: 1980 Description: iv, 241 p Local call number: B H437.75/D1 Accession no: 5189b ; 5644b Series: (Oceania linguistics monographs, 23) Annotation: Texts include information on kinship, hunting and gathering various foods, mortuary ritual, circumcision, warfare, medicines, making of spears and canoes, contact relations with white settlers and macassans, myths about devils and dreamtime travels of silver gull and oyster catcher Acquisitions source: Copy 3 - donation from Tom Austen Brown collection Topical: Stories and motifs - Birds Topical: Initiation - Circumcision Topical: Ceremonies - Initiation Topical: Stories and motifs - Devils, monsters, evil spirits, hairy men, bunyips Topical: Food Topical: Language - Linguistics - Grammar and syntax Topical: Hunting, gathering and fishing Topical: Indigenous knowledge - Health and medicine Topical: Social organisation - Kinship - Marriage Topical: Language - Linguistics - Language elicitation - Narratives Topical: Language - Linguistics - Language elicitation - Translated Topical: Death - Mortuary / funeral ceremonies Topical: Animals - Invertebrates - Crustacea and molluscs - Oysters Topical: Language - Texts and translations - Aboriginal to non-Aboriginal language Topical: Language - Vocabulary - Dictionaries and glossaries Topical: Transport - Water - Canoes Topical: Weapons - Spears Place: Arnhem Land (NT) Language/Group: Dhuwal languages (NT SD53)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
